,IPs,APP ID,Protocol type port,FQDNs,Application Name
16272,149.212.124.16,12647,TCP 80; TCP 81; TCP 8080; TCP 9090,no-megalift4.ww002.siemens.net,Kardex PPG (PowerPick Global)
16275,10.220.6.26,12649,TCP 80; TCP 443; TCP 8443; TCP 8444; TCP 8080; TCP 389; UDP 389; TCP 636; TCP 25; UDP 162; UDP 514,demlhx7vp1121w.ad001.siemens.net,PRTG
16276,149.246.98.100,12649,TCP 23560; TCP 443; TCP 8080; TCP 143; TCP 993; TCP 389; UDP 389; TCP 636; TCP 1433; TCP 3306; TCP 1521; TCP 110; TCP 995; TCP 5432; TCP 25; TCP 465; TCP 587; UDP 161; UDP 162; TCP 22; UDP 514; TCP 5988; TCP 5989; TCP 135; TCP 49152-65535; TCP 1024-5000,demlhw7sp104w.ad001.siemens.net,PRTG
16280,129.73.168.93,12649,TCP 23560; TCP 443; TCP 8443; TCP 8080; TCP 143; TCP 993; TCP 389; UDP 389; TCP 636; TCP 1433; TCP 3306; TCP 1521; TCP 110; TCP 995; TCP 5432; TCP 25; TCP 465; TCP 587; UDP 161; UDP 162; TCP 22; UDP 514; TCP 5988; TCP 5989; TCP 135; TCP 49152-65535; TCP 1024-5000,usorla7sp102w.ad001.siemens.net,PRTG
16294,129.73.188.69,12649,TCP 135,usorla400avtss.ad001.siemens.net,PRTG
16295,139.23.160.218,46,TCP 1433; TCP 8192,oslo-test.energy.siemens.com;oslo.energy.siemens.com,OsLo
16297,139.23.157.218,46,TCP 8443; TCP 8192;TCP 8444;TCP 3389,oslo-test.siemens-energy.com,OsLo
16340,139.25.233.182,2174,TCP 4420;TCP 1433,demchdc9xaa.ad007.siemens.net;demchdc9x7a.ad007.siemens.net;demchdc9x8a.ad007.siemens.net;demchdc9x9a.ad007.siemens.net;demchdc844a.ad007.siemens.net;demchdc845a.ad007.siemens.net;demchdc9mqa.ad007.siemens.net;demchdc9p1a.ad007.siemens.net;demchdc9msa.ad007.siemens.net,iTWO - Project Offer Calculation Tool
16947,147.54.168.15,4439,TCP 80; TCP 1443; TCP 6221;TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,blnh355a.ad001.siemens.net,Messdatenbank
16371,140.231.107.71,2359,TCP 7777;TCP 7575,https://sgsgpm071srv.ad001.siemens.net,CMS [GP O&G GS EHM]
17017,147.54.168.95,5049,TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,blnh301a.ad001.siemens.net,Induso Fludis Kühlschmierstoff Verwaltung
